Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Edge Chromium 86,,,2020-10-11 20:36:41,2020-10-11 20:38:41,1m - 59.408s,PASSED
,,,,,,,
Test Cases/TC1,Edge Chromium 86,,,2020-10-11 20:36:42,2020-10-11 20:37:01,19.494s,PASSED
"openBrowser("""")",Edge Chromium 86,,,2020-10-11 20:36:42,2020-10-11 20:36:49,6.447s,PASSED
navigateToUrl(url),Edge Chromium 86,,,2020-10-11 20:36:49,2020-10-11 20:36:56,7.459s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 86,,,2020-10-11 20:36:56,2020-10-11 20:36:58,1.284s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), user)",Edge Chromium 86,,,2020-10-11 20:36:58,2020-10-11 20:36:58,0.665s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), pass)",Edge Chromium 86,,,2020-10-11 20:36:58,2020-10-11 20:36:59,0.434s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 86,,,2020-10-11 20:36:59,2020-10-11 20:37:00,1.207s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Edge Chromium 86,,,2020-10-11 20:37:00,2020-10-11 20:37:00,0.222s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Edge Chromium 86,,,2020-10-11 20:37:00,2020-10-11 20:37:00,0.289s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), 30)",Edge Chromium 86,,,2020-10-11 20:37:00,2020-10-11 20:37:01,0.153s,PASSED
closeBrowser(),Edge Chromium 86,,,2020-10-11 20:37:01,2020-10-11 20:37:01,0.699s,PASSED
,,,,,,,
Test Cases/TC2,Edge Chromium 86,,,2020-10-11 20:37:01,2020-10-11 20:37:30,28.355s,PASSED
"openBrowser("""")",Edge Chromium 86,,,2020-10-11 20:37:02,2020-10-11 20:37:06,4.242s,PASSED
navigateToUrl(url),Edge Chromium 86,,,2020-10-11 20:37:06,2020-10-11 20:37:25,19.073s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 86,,,2020-10-11 20:37:25,2020-10-11 20:37:27,1.594s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), user)",Edge Chromium 86,,,2020-10-11 20:37:27,2020-10-11 20:37:27,0.284s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), pass)",Edge Chromium 86,,,2020-10-11 20:37:27,2020-10-11 20:37:27,0.272s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 86,,,2020-10-11 20:37:27,2020-10-11 20:37:28,1.197s,PASSED
